Pipeline_File,Reference_File,Status,Quarter,Excel_Column,Column_Code,Section,Category,Metric,Column_Description,Pipeline_Value,Reference_Value,Difference,Source_File,Source_Value,Pipeline_Correct,Reference_Correct,Verification_Note
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,67,SWEPENFND.EQUITYFUND.NOMIEEACC.NETSAVINGSUM.Q,Equity funds,Nominee Accounts,Net savings sum,Equity funds: Nominee Accounts: Net savings sum,,19193.36,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,68,SWEPENFND.EQUITYFUND.NONPROFINST.NETSAVINGSUM.Q,Equity funds,Non profit inst.,Net savings sum,Equity funds: Non profit institutions serving households: Net savings sum,,263.81,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,69,SWEPENFND.EQUITYFUND.SWECORP.NETSAVINGSUM.Q,Equity funds,Swedish corporations,Net savings sum,Equity funds: Swedish corporations: Net savings sum,,6591.02,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,70,SWEPENFND.EQUITYFUND.OTHER.NETSAVINGSUM.Q,Equity funds,Others,Net savings sum,Equity funds: Others: Net savings sum,,-155.790000000001,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,71,SWEPENFND.EQUITYFUND.TOTAL.NETSAVINGSUM.Q,Equity funds,TOTAL,Net savings sum,Equity funds: TOTAL: Net savings sum,,34881.99,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,72,SWEPENFND.EQUITYFUND.SWEHOUSEHOLD.NETSAVINGPERC.Q,Equity funds,Swedish households,Net savings %,"Equity funds: Swedish households, direct inv.: Net savings %",,-2.71913959037315,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,73,SWEPENFND.EQUITYFUND.ISK.NETSAVINGPERC.Q,Equity funds,ISK,Net savings %,Equity funds: ISK (Investment Savings Account): Net savings %,,28.2422247125236,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,74,SWEPENFND.EQUITYFUND.IPS.NETSAVINGPERC.Q,Equity funds,IPS,Net savings %,Equity funds: IPS (Individual Pension Saving): Net savings %,,-2.68952545425304,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,75,SWEPENFND.EQUITYFUND.UNITLINK.NETSAVINGPERC.Q,Equity funds,Unit linked,Net savings %,Equity funds: Unit linked: Net savings %,,12.7058977999822,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,76,SWEPENFND.EQUITYFUND.PREMPENSSAVING.NETSAVINGPERC.Q,Equity funds,Premium Pension,Net savings %,Equity funds: Premium Pension Savings: Net savings %,,-9.76802068918659,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,77,SWEPENFND.EQUITYFUND.NOMIEEACC.NETSAVINGPERC.Q,Equity funds,Nominee Accounts,Net savings %,Equity funds: Nominee Accounts: Net savings %,,55.0236956091094,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,78,SWEPENFND.EQUITYFUND.NONPROFINST.NETSAVINGPERC.Q,Equity funds,Non profit inst.,Net savings %,Equity funds: Non profit institutions serving households: Net savings %,,0.756292860585075,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,79,SWEPENFND.EQUITYFUND.SWECORP.NETSAVINGPERC.Q,Equity funds,Swedish corporations,Net savings %,Equity funds: Swedish corporations: Net savings %,,18.8951949129049,,fund-saving-by-category-2024.xlsx,,,,
SIFA_DATA.csv,SIFA_DATA_20250212.xlsx,MISSING,2024-Q3,80,SWEPENFND.EQUITYFUND.OTHER.NETSAVINGPERC.Q,Equity funds,Others,Net savings %,Equity funds: Others: Net savings %,,-0.446620161292406,,fund-saving-by-category-2024.xlsx,,,,
